DATE,PRCP
01/01/2001,0
01/02/2001,0
01/03/2001,0
01/04/2001,0.04
01/05/2001,0.14
01/06/2001,0
01/07/2001,0.01
01/08/2001,0
01/09/2001,0
01/10/2001,0
01/11/2001,0
01/12/2001,0
1/13/2001,0
1/14/2001,0.02
1/15/2001,0.04
1/16/2001,0
1/17/2001,0.01
1/18/2001,0
1/19/2001,0
1/20/2001,0
1/21/2001,0
1/22/2001,0
1/23/2001,0
1/24/2001,0
1/25/2001,0.02
1/26/2001,0.01
1/27/2001,0.02
1/28/2001,0
1/29/2001,0.16
1/30/2001,0.36
1/31/2001,0.01
02/01/2001,0
02/02/2001,0
02/03/2001,0
02/04/2001,0.02
02/05/2001,0.02
02/06/2001,0.04
02/07/2001,0
02/08/2001,0.09
02/09/2001,0.84
02/10/2001,0.09
02/11/2001,0
02/12/2001,0
2/13/2001,0
2/14/2001,0.33
2/15/2001,0
2/16/2001,0
2/17/2001,0
2/18/2001,0
2/19/2001,0
2/20/2001,0
2/21/2001,0
2/22/2001,0
2/23/2001,0
2/24/2001,0.67
2/25/2001,0.45
2/26/2001,0
2/27/2001,0
2/28/2001,0
03/01/2001,0
03/02/2001,0
03/03/2001,0
03/04/2001,0
03/05/2001,0
03/06/2001,0
03/07/2001,0
03/08/2001,0
03/09/2001,0.01
03/10/2001,0
03/11/2001,0.05
03/12/2001,0.08
3/13/2001,0.46
3/14/2001,0
3/15/2001,0
3/16/2001,0.02
3/17/2001,0.21
3/18/2001,0
3/19/2001,0
3/20/2001,0
3/21/2001,0
3/22/2001,0
3/23/2001,0
3/24/2001,0
3/25/2001,0
3/26/2001,0
3/27/2001,0
3/28/2001,0
3/29/2001,0
3/30/2001,0
3/31/2001,0
04/01/2001,0.09
04/02/2001,0
04/03/2001,0.05
04/04/2001,0
04/05/2001,0
04/06/2001,0.17
04/07/2001,0.18
04/08/2001,0
04/09/2001,0.03
04/10/2001,0.01
04/11/2001,0.02
04/12/2001,0.01
4/13/2001,0
4/14/2001,0
4/15/2001,0.04
4/16/2001,0.04
4/17/2001,0.03
4/18/2001,0
4/19/2001,0
4/20/2001,0.2
4/21/2001,0.3
4/22/2001,0.06
4/23/2001,0.03
4/24/2001,0.01
4/25/2001,0
4/26/2001,0
4/27/2001,0
4/28/2001,0
4/29/2001,0
4/30/2001,0
05/01/2001,0
05/02/2001,0
05/03/2001,0
05/04/2001,0
05/05/2001,0
05/06/2001,0
05/07/2001,0
05/08/2001,0.11
05/09/2001,0
05/10/2001,0
05/11/2001,0.37
05/12/2001,0
5/13/2001,0
5/14/2001,0
5/15/2001,0.22
5/16/2001,0.22
5/17/2001,0.01
5/18/2001,0.06
5/19/2001,0
5/20/2001,0
5/21/2001,0.76
5/22/2001,0.02
5/23/2001,0.01
5/24/2001,0.02
5/25/2001,0.18
5/26/2001,0.33
5/27/2001,0.16
5/28/2001,0.69
5/29/2001,0
5/30/2001,0
5/31/2001,0
06/01/2001,0.46
06/02/2001,0.87
06/03/2001,0.09
06/04/2001,0
06/05/2001,0
06/06/2001,0.02
06/07/2001,0
06/08/2001,0
06/09/2001,0
06/10/2001,0.03
06/11/2001,0.09
06/12/2001,0
6/13/2001,0
6/14/2001,0
6/15/2001,0
6/16/2001,0.03
6/17/2001,0
6/18/2001,0.02
6/19/2001,0.02
